phase_true,m,prob_peak,phase_est,dispersion,backend
0.25,0,0.7939453125,0.25,0.13166130650550792,ibm_fez
0.25,1,0.487548828125,0.25,0.3374404996062804,ibm_fez
0.25,2,0.87158203125,0.25,0.10507694513161943,ibm_fez
0.25,3,0.822265625,0.25,0.11078820727282998,ibm_fez
0.3333,0,0.55322265625,0.34375,0.1251846426834935,ibm_fez
0.3333,1,0.214599609375,0.96875,0.34527652593917246,ibm_fez
0.3333,2,0.395263671875,0.34375,0.17948780598739555,ibm_fez
0.3333,3,0.531982421875,0.34375,0.16011861910420624,ibm_fez
